# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 35.468, -101.237 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,
# Units: time in UTC, local_time in America/Chicago, electricity in kW,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""America/Chicago"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""35.46789100709006"""," ""lon"": ""-101.2366719020712"""," ""date_from"": ""2020-01-01"""," ""date_to"": ""2020-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""20000"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": false}}"
time,local_time,electricity,,,,,,,,,,,,,
1/1/2020 0:00,12/31/2019 18:00,0,,,,,,,,,,,,,
1/1/2020 1:00,12/31/2019 19:00,0,,,,,,,,,,,,,
1/1/2020 2:00,12/31/2019 20:00,0,,,,,,,,,,,,,
1/1/2020 3:00,12/31/2019 21:00,0,,,,,,,,,,,,,
1/1/2020 4:00,12/31/2019 22:00,0,,,,,,,,,,,,,
1/1/2020 5:00,12/31/2019 23:00,0,,,,,,,,,,,,,
1/1/2020 6:00,1/1/2020 0:00,0,,,,,,,,,,,,,
1/1/2020 7:00,1/1/2020 1:00,0,,,,,,,,,,,,,
1/1/2020 8:00,1/1/2020 2:00,0,,,,,,,,,,,,,
1/1/2020 9:00,1/1/2020 3:00,0,,,,,,,,,,,,,
1/1/2020 10:00,1/1/2020 4:00,0,,,,,,,,,,,,,
1/1/2020 11:00,1/1/2020 5:00,0,,,,,,,,,,,,,
1/1/2020 12:00,1/1/2020 6:00,0,,,,,,,,,,,,,
1/1/2020 13:00,1/1/2020 7:00,0,,,,,,,,,,,,,
1/1/2020 14:00,1/1/2020 8:00,4756.181,,,,,,,,,,,,,
1/1/2020 15:00,1/1/2020 9:00,10345.714,,,,,,,,,,,,,
1/1/2020 16:00,1/1/2020 10:00,13824.286,,,,,,,,,,,,,
1/1/2020 17:00,1/1/2020 11:00,15682.31,,,,,,,,,,,,,
1/1/2020 18:00,1/1/2020 12:00,16282.075,,,,,,,,,,,,,
1/1/2020 19:00,1/1/2020 13:00,15776.315,,,,,,,,,,,,,
1/1/2020 20:00,1/1/2020 14:00,14159.078,,,,,,,,,,,,,
1/1/2020 21:00,1/1/2020 15:00,11257.187,,,,,,,,,,,,,
1/1/2020 22:00,1/1/2020 16:00,6803.907,,,,,,,,,,,,,
