# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 35.468, -101.237 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,
# Units: time in UTC, local_time in America/Chicago, electricity in kW,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""America/Chicago"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""35.46789100709006"""," ""lon"": ""-101.2366719020712"""," ""date_from"": ""2023-01-01"""," ""date_to"": ""2023-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""200"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": false}}"
time,local_time,electricity,,,,,,,,,,,,,
1/1/2023 0:00,12/31/2022 18:00,0,,,,,,,,,,,,,
1/1/2023 1:00,12/31/2022 19:00,0,,,,,,,,,,,,,
1/1/2023 2:00,12/31/2022 20:00,0,,,,,,,,,,,,,
1/1/2023 3:00,12/31/2022 21:00,0,,,,,,,,,,,,,
1/1/2023 4:00,12/31/2022 22:00,0,,,,,,,,,,,,,
1/1/2023 5:00,12/31/2022 23:00,0,,,,,,,,,,,,,
1/1/2023 6:00,1/1/2023 0:00,0,,,,,,,,,,,,,
1/1/2023 7:00,1/1/2023 1:00,0,,,,,,,,,,,,,
1/1/2023 8:00,1/1/2023 2:00,0,,,,,,,,,,,,,
1/1/2023 9:00,1/1/2023 3:00,0,,,,,,,,,,,,,
1/1/2023 10:00,1/1/2023 4:00,0,,,,,,,,,,,,,
1/1/2023 11:00,1/1/2023 5:00,0,,,,,,,,,,,,,
1/1/2023 12:00,1/1/2023 6:00,0,,,,,,,,,,,,,
1/1/2023 13:00,1/1/2023 7:00,0,,,,,,,,,,,,,
1/1/2023 14:00,1/1/2023 8:00,6.761,,,,,,,,,,,,,
1/1/2023 15:00,1/1/2023 9:00,22.921,,,,,,,,,,,,,
1/1/2023 16:00,1/1/2023 10:00,40.772,,,,,,,,,,,,,
1/1/2023 17:00,1/1/2023 11:00,69.53,,,,,,,,,,,,,
1/1/2023 18:00,1/1/2023 12:00,88.296,,,,,,,,,,,,,
