# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 35.468, -101.237 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Chicago, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Chicago", "electricity": "kW"}, "params": {"local_time": "true", "header": "true", "lat": "35.46789100709006", "lon": "-101.2366719020712", "date_from": "2023-01-01", "date_to": "2023-12-31", "dataset": "merra2", "capacity": "20000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "false"}}
time,local_time,electricity
2023-01-01 00:00,2022-12-31 18:00,0
2023-01-01 01:00,2022-12-31 19:00,0
2023-01-01 02:00,2022-12-31 20:00,0
2023-01-01 03:00,2022-12-31 21:00,0
2023-01-01 04:00,2022-12-31 22:00,0
2023-01-01 05:00,2022-12-31 23:00,0
2023-01-01 06:00,2023-01-01 00:00,0
2023-01-01 07:00,2023-01-01 01:00,0
2023-01-01 08:00,2023-01-01 02:00,0
2023-01-01 09:00,2023-01-01 03:00,0
2023-01-01 10:00,2023-01-01 04:00,0
2023-01-01 11:00,2023-01-01 05:00,0
2023-01-01 12:00,2023-01-01 06:00,0
2023-01-01 13:00,2023-01-01 07:00,0
2023-01-01 14:00,2023-01-01 08:00,676.146
2023-01-01 15:00,2023-01-01 09:00,2292.118
2023-01-01 16:00,2023-01-01 10:00,4077.246
2023-01-01 17:00,2023-01-01 11:00,6952.958
2023-01-01 18:00,2023-01-01 12:00,8829.598
2023-01-01 19:00,2023-01-01 13:00,7001.315
2023-01-01 20:00,2023-01-01 14:00,4408.293
2023-01-01 21:00,2023-01-01 15:00,2467.150
2023-01-01 22:00,2023-01-01 16:00,968.417
2023-01-01 23:00,2023-01-01 17:00,30.237
2023-01-02 00:00,2023-01-01 18:00,0
2023-01-02 01:00,2023-01-01 19:00,0
2023-01-02 02:00,2023-01-01 20:00,0
2023-01-02 03:00,2023-01-01 21:00,0
2023-01-02 04:00,2023-01-01 22:00,0
2023-01-02 05:00,2023-01-01 23:00,0
2023-01-02 06:00,2023-01-02 00:00,0
2023-01-02 07:00,2023-01-02 01:00,0
2023-01-02 08:00,2023-01-02 02:00,0
2023-01-02 09:00,2023-01-02 03:00,0
2023-01-02 10:00,2023-01-02 04:00,0
2023-01-02 11:00,2023-01-02 05:00,0
2023-01-02 12:00,2023-01-02 06:00,0
2023-01-02 13:00,2023-01-02 07:00,0
2023-01-02 14:00,2023-01-02 08:00,161.810
2023-01-02 15:00,2023-01-02 09:00,1129.285
2023-01-02 16:00,2023-01-02 10:00,3040.237
2023-01-02 17:00,2023-01-02 11:00,10396.489
2023-01-02 18:00,2023-01-02 12:00,14729.268
2023-01-02 19:00,2023-01-02 13:00,14658.843
2023-01-02 20:00,2023-01-02 14:00,13232.869
2023-01-02 21:00,2023-01-02 15:00,10179.781
2023-01-02 22:00,2023-01-02 16:00,5951.456
2023-01-02 23:00,2023-01-02 17:00,685.479
2023-01-03 00:00,2023-01-02 18:00,0
2023-01-03 01:00,2023-01-02 19:00,0
2023-01-03 02:00,2023-01-02 20:00,0
2023-01-03 03:00,2023-01-02 21:00,0
2023-01-03 04:00,2023-01-02 22:00,0
2023-01-03 05:00,2023-01-02 23:00,0
2023-01-03 06:00,2023-01-03 00:00,0
2023-01-03 07:00,2023-01-03 01:00,0
2023-01-03 08:00,2023-01-03 02:00,0
2023-01-03 09:00,2023-01-03 03:00,0
2023-01-03 10:00,2023-01-03 04:00,0
2023-01-03 11:00,2023-01-03 05:00,0
2023-01-03 12:00,2023-01-03 06:00,0
2023-01-03 13:00,2023-01-03 07:00,0
2023-01-03 14:00,2023-01-03 08:00,4233.782
2023-01-03 15:00,2023-01-03 09:00,8476.778
2023-01-03 16:00,2023-01-03 10:00,11289.423
2023-01-03 17:00,2023-01-03 11:00,12062.451
2023-01-03 18:00,2023-01-03 12:00,12462.723
2023-01-03 19:00,2023-01-03 13:00,13584.330
2023-01-03 20:00,2023-01-03 14:00,13630.729
2023-01-03 21:00,2023-01-03 15:00,11053.858
2023-01-03 22:00,2023-01-03 16:00,6410.159
2023-01-03 23:00,2023-01-03 17:00,362.281
2023-01-04 00:00,2023-01-03 18:00,0
2023-01-04 01:00,2023-01-03 19:00,0
2023-01-04 02:00,2023-01-03 20:00,0
2023-01-04 03:00,2023-01-03 21:00,0
2023-01-04 04:00,2023-01-03 22:00,0
