# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 35.468, -101.237 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Chicago, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Chicago", "electricity": "kW"}, "params": {"local_time": "true", "header": "true", "lat": "35.46789100709006", "lon": "-101.2366719020712", "date_from": "2022-01-01", "date_to": "2022-12-31", "dataset": "merra2", "capacity": "20000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "false"}}
time,local_time,electricity
2022-01-01 00:00,2021-12-31 18:00,0
2022-01-01 01:00,2021-12-31 19:00,0
2022-01-01 02:00,2021-12-31 20:00,0
2022-01-01 03:00,2021-12-31 21:00,0
2022-01-01 04:00,2021-12-31 22:00,0
2022-01-01 05:00,2021-12-31 23:00,0
2022-01-01 06:00,2022-01-01 00:00,0
2022-01-01 07:00,2022-01-01 01:00,0
2022-01-01 08:00,2022-01-01 02:00,0
2022-01-01 09:00,2022-01-01 03:00,0
2022-01-01 10:00,2022-01-01 04:00,0
2022-01-01 11:00,2022-01-01 05:00,0
2022-01-01 12:00,2022-01-01 06:00,0
2022-01-01 13:00,2022-01-01 07:00,0
2022-01-01 14:00,2022-01-01 08:00,136.655
2022-01-01 15:00,2022-01-01 09:00,1735.848
2022-01-01 16:00,2022-01-01 10:00,4464.699
2022-01-01 17:00,2022-01-01 11:00,6881.910
2022-01-01 18:00,2022-01-01 12:00,9939.432
2022-01-01 19:00,2022-01-01 13:00,9755.005
2022-01-01 20:00,2022-01-01 14:00,6978.559
2022-01-01 21:00,2022-01-01 15:00,1706.112
2022-01-01 22:00,2022-01-01 16:00,931.864
2022-01-01 23:00,2022-01-01 17:00,103.654
2022-01-02 00:00,2022-01-01 18:00,0
2022-01-02 01:00,2022-01-01 19:00,0
2022-01-02 02:00,2022-01-01 20:00,0
2022-01-02 03:00,2022-01-01 21:00,0
2022-01-02 04:00,2022-01-01 22:00,0
2022-01-02 05:00,2022-01-01 23:00,0
2022-01-02 06:00,2022-01-02 00:00,0
2022-01-02 07:00,2022-01-02 01:00,0
2022-01-02 08:00,2022-01-02 02:00,0
2022-01-02 09:00,2022-01-02 03:00,0
2022-01-02 10:00,2022-01-02 04:00,0
2022-01-02 11:00,2022-01-02 05:00,0
2022-01-02 12:00,2022-01-02 06:00,0
2022-01-02 13:00,2022-01-02 07:00,0
2022-01-02 14:00,2022-01-02 08:00,5404.249
2022-01-02 15:00,2022-01-02 09:00,10931.349
2022-01-02 16:00,2022-01-02 10:00,14429.657
2022-01-02 17:00,2022-01-02 11:00,16394.151
2022-01-02 18:00,2022-01-02 12:00,17030.202
2022-01-02 19:00,2022-01-02 13:00,16540.029
2022-01-02 20:00,2022-01-02 14:00,14900.895
2022-01-02 21:00,2022-01-02 15:00,11964.812
2022-01-02 22:00,2022-01-02 16:00,7426.623
2022-01-02 23:00,2022-01-02 17:00,939.916
2022-01-03 00:00,2022-01-02 18:00,0
2022-01-03 01:00,2022-01-02 19:00,0
2022-01-03 02:00,2022-01-02 20:00,0
2022-01-03 03:00,2022-01-02 21:00,0
2022-01-03 04:00,2022-01-02 22:00,0
2022-01-03 05:00,2022-01-02 23:00,0
2022-01-03 06:00,2022-01-03 00:00,0
2022-01-03 07:00,2022-01-03 01:00,0
2022-01-03 08:00,2022-01-03 02:00,0
2022-01-03 09:00,2022-01-03 03:00,0
2022-01-03 10:00,2022-01-03 04:00,0
2022-01-03 11:00,2022-01-03 05:00,0
2022-01-03 12:00,2022-01-03 06:00,0
2022-01-03 13:00,2022-01-03 07:00,0
2022-01-03 14:00,2022-01-03 08:00,5269.971
2022-01-03 15:00,2022-01-03 09:00,10560.663
2022-01-03 16:00,2022-01-03 10:00,13946.621
2022-01-03 17:00,2022-01-03 11:00,15748.361
2022-01-03 18:00,2022-01-03 12:00,16340.447
2022-01-03 19:00,2022-01-03 13:00,15912.829
2022-01-03 20:00,2022-01-03 14:00,14353.515
2022-01-03 21:00,2022-01-03 15:00,11534.611
2022-01-03 22:00,2022-01-03 16:00,7165.793
2022-01-03 23:00,2022-01-03 17:00,924.998
2022-01-04 00:00,2022-01-03 18:00,0
2022-01-04 01:00,2022-01-03 19:00,0
2022-01-04 02:00,2022-01-03 20:00,0
2022-01-04 03:00,2022-01-03 21:00,0
2022-01-04 04:00,2022-01-03 22:00,0
2022-01-04 05:00,2022-01-03 23:00,0
2022-01-04 06:00,2022-01-04 00:00,0
2022-01-04 07:00,2022-01-04 01:00,0
2022-01-04 08:00,2022-01-04 02:00,0
2022-01-04 09:00,2022-01-04 03:00,0
2022-01-04 10:00,2022-01-04 04:00,0
2022-01-04 11:00,2022-01-04 05:00,0
2022-01-04 12:00,2022-01-04 06:00,0
2022-01-04 13:00,2022-01-04 07:00,0
2022-01-04 14:00,2022-01-04 08:00,5327.583
2022-01-04 15:00,2022-01-04 09:00,9220.992
2022-01-04 16:00,2022-01-04 10:00,13643.882
2022-01-04 17:00,2022-01-04 11:00,15204.672
2022-01-04 18:00,2022-01-04 12:00,14727.612
2022-01-04 19:00,2022-01-04 13:00,15466.969
2022-01-04 20:00,2022-01-04 14:00,13959.590
2022-01-04 21:00,2022-01-04 15:00,11202.055
2022-01-04 22:00,2022-01-04 16:00,6946.181
2022-01-04 23:00,2022-01-04 17:00,323.591
2022-01-05 00:00,2022-01-04 18:00,0
2022-01-05 01:00,2022-01-04 19:00,0
2022-01-05 02:00,2022-01-04 20:00,0
2022-01-05 03:00,2022-01-04 21:00,0
2022-01-05 04:00,2022-01-04 22:00,0
2022-01-05 05:00,2022-01-04 23:00,0
2022-01-05 06:00,2022-01-05 00:00,0
