datetime,simulated_combined_load_e1,simulated_combined_load_e2,simulated_wind_load_e1,simulated_wind_load_e2,simulated_solar_load_e1,simulated_solar_load_e2
2019-10-02 00:00:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 00:12:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 00:24:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 00:36:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 00:48:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 01:00:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 01:12:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 01:24:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 01:36:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 01:48:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 02:00:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 02:12:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 02:24:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 02:36:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 02:48:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 03:00:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 03:12:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 03:24:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 03:36:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 03:48:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 04:00:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 04:12:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 04:24:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 04:36:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 04:48:00,60.0,60.0,60.0,60.0,0.65,0.65
2019-10-02 05:00:00,0.65,0.65,0.65,0.65,0.65,0.65
2019-10-02 05:12:00,0.65,0.65,0.65,0.65,0.65,0.65
2019-10-02 05:24:00,0.65,0.65,0.65,0.65,0.65,0.65
2019-10-02 05:36:00,0.65,0.65,0.65,0.65,0.65,0.65
2019-10-02 05:48:00,0.65,0.65,0.65,0.65,0.65,0.65
2019-10-02 06:00:00,60.0,0.65,60.0,0.65,0.65,0.65
2019-10-02 06:12:00,60.0,0.65,60.0,0.65,0.65,0.65
2019-10-02 06:24:00,60.0,0.65,60.0,0.65,0.65,0.65
2019-10-02 06:36:00,60.0,0.65,60.0,0.65,0.65,0.65
2019-10-02 06:48:00,60.0,0.65,60.0,0.65,0.65,0.65
2019-10-02 07:00:00,60.0,0.65,60.0,0.65,0.65,0.65
2019-10-02 07:12:00,60.0,0.65,60.0,0.65,0.65,0.65
2019-10-02 07:24:00,60.0,0.65,60.0,0.65,0.65,0.65
2019-10-02 07:36:00,60.0,0.65,60.0,0.65,0.65,0.65
2019-10-02 07:48:00,60.0,0.65,60.0,0.65,0.65,0.65
2019-10-02 08:00:00,0.65,0.65,0.65,0.65,0.65,0.65
2019-10-02 08:12:00,0.65,0.65,0.65,0.65,0.65,0.65
2019-10-02 08:24:00,0.65,0.65,0.65,0.65,0.65,0.65
2019-10-02 08:36:00,0.65,0.65,0.65,0.65,0.65,0.65
2019-10-02 08:48:00,0.65,0.65,0.65,0.65,0.65,0.65
2019-10-02 09:00:00,0.65,0.65,0.65,0.65,0.65,0.65
2019-10-02 09:12:00,0.65,0.65,0.65,0.65,0.65,0.65
2019-10-02 09:24:00,0.65,0.65,0.65,0.65,0.65,0.65
2019-10-02 09:36:00,0.65,0.65,0.65,0.65,0.65,0.65
2019-10-02 09:48:00,0.65,0.65,0.65,0.65,0.65,0.65
2019-10-02 10:00:00,60.0,0.65,60.0,0.65,0.65,0.65
2019-10-02 10:12:00,60.0,0.65,60.0,0.65,0.65,0.65
2019-10-02 10:24:00,60.0,0.65,60.0,0.65,0.65,0.65
2019-10-02 10:36:00,60.0,0.65,60.0,0.65,0.65,0.65
2019-10-02 10:48:00,60.0,0.65,60.0,0.65,0.65,0.65
2019-10-02 11:00:00,60.0,12.520000000000001,60.0,0.65,0.65,0.65
2019-10-02 11:12:00,60.0,24.39,60.0,0.65,0.65,0.65
2019-10-02 11:24:00,60.0,36.260000000000005,60.0,0.65,0.65,0.65
2019-10-02 11:36:00,60.0,48.13000000000001,60.0,0.65,0.65,0.65
2019-10-02 11:48:00,60.0,60.0,60.0,0.65,0.65,0.65
