datetime_index,simulated_combined_load_e1,simulated_combined_load_e2,simulated_wind_load_e1,simulated_wind_load_e2,simulated_solar_load_e1,simulated_solar_load_e2,combined_load_status_e1,combined_load_status_e2,wind_load_status_e1,wind_load_status_e2,solar_load_status_e1,solar_load_status_e2
2019-10-02 00:00:00,60.0,60.0,60.0,60.0,0.65,0.65,steady-state full load,steady-state full load,steady-state full load,steady-state full load,run-idle load,run-idle load
2019-10-02 01:00:00,60.0,60.0,60.0,60.0,0.65,0.65,steady-state full load,steady-state full load,steady-state full load,steady-state full load,run-idle load,run-idle load
2019-10-02 02:00:00,60.0,60.0,60.0,60.0,0.65,0.65,steady-state full load,steady-state full load,steady-state full load,steady-state full load,run-idle load,run-idle load
2019-10-02 03:00:00,60.0,60.0,60.0,60.0,0.65,0.65,steady-state full load,steady-state full load,steady-state full load,steady-state full load,run-idle load,run-idle load
2019-10-02 04:00:00,60.0,60.0,60.0,60.0,0.65,0.65,steady-state full load,steady-state full load,steady-state full load,steady-state full load,run-idle load,run-idle load
2019-10-02 05:00:00,0.6499999999999986,0.6499999999999986,0.6499999999999986,0.6499999999999986,0.65,0.65,,,,,run-idle load,run-idle load
2019-10-02 06:00:00,60.0,0.65,60.0,0.65,0.65,0.65,steady-state full load,run-idle load,steady-state full load,run-idle load,run-idle load,run-idle load
2019-10-02 07:00:00,60.0,0.65,60.0,0.65,0.65,0.65,steady-state full load,run-idle load,steady-state full load,run-idle load,run-idle load,run-idle load
2019-10-02 08:00:00,0.6499999999999986,0.65,0.6499999999999986,0.65,0.65,0.65,,run-idle load,,run-idle load,run-idle load,run-idle load
2019-10-02 09:00:00,0.65,0.65,0.65,0.65,0.65,0.65,run-idle load,run-idle load,run-idle load,run-idle load,run-idle load,run-idle load
2019-10-02 10:00:00,60.0,0.65,60.0,0.65,0.65,0.65,steady-state full load,run-idle load,steady-state full load,run-idle load,run-idle load,run-idle load
2019-10-02 11:00:00,60.0,60.0,60.0,0.65,0.65,0.65,steady-state full load,steady-state full load,steady-state full load,run-idle load,run-idle load,run-idle load
2019-10-02 12:00:00,60.0,60.0,60.0,0.65,0.65,0.65,steady-state full load,steady-state full load,steady-state full load,run-idle load,run-idle load,run-idle load
2019-10-02 13:00:00,60.0,60.0,60.0,0.65,0.65,0.65,steady-state full load,steady-state full load,steady-state full load,run-idle load,run-idle load,run-idle load
2019-10-02 14:00:00,60.0,60.0,60.0,0.65,0.65,0.65,steady-state full load,steady-state full load,steady-state full load,run-idle load,run-idle load,run-idle load
2019-10-02 15:00:00,60.0,60.0,60.0,0.65,0.65,0.65,steady-state full load,steady-state full load,steady-state full load,run-idle load,run-idle load,run-idle load
2019-10-02 16:00:00,60.0,0.65,60.0,0.65,0.65,0.65,steady-state full load,run-idle load,steady-state full load,run-idle load,run-idle load,run-idle load
2019-10-02 17:00:00,0.6499999999999986,0.65,0.6499999999999986,0.65,0.65,0.65,,run-idle load,,run-idle load,run-idle load,run-idle load
2019-10-02 18:00:00,0.65,0.65,0.65,0.65,0.65,0.65,run-idle load,run-idle load,run-idle load,run-idle load,run-idle load,run-idle load
2019-10-02 19:00:00,0.65,0.65,0.65,0.65,0.65,0.65,run-idle load,run-idle load,run-idle load,run-idle load,run-idle load,run-idle load
2019-10-02 20:00:00,0.65,0.65,0.65,0.65,0.65,0.65,run-idle load,run-idle load,run-idle load,run-idle load,run-idle load,run-idle load
2019-10-02 21:00:00,0.65,0.65,0.65,0.65,0.65,0.65,run-idle load,run-idle load,run-idle load,run-idle load,run-idle load,run-idle load
2019-10-02 22:00:00,0.65,0.65,0.65,0.65,0.65,0.65,run-idle load,run-idle load,run-idle load,run-idle load,run-idle load,run-idle load
2019-10-02 23:00:00,60.0,0.65,60.0,0.65,0.65,0.65,steady-state full load,run-idle load,steady-state full load,run-idle load,run-idle load,run-idle load
